hs6,product_label,years_present,avg_RSCA
290382,"Aldrin (ISO), chlordane (ISO) and heptachlor (ISO)",12,1.0
843240,"Manure spreaders and fertiliser distributors for use in agriculture, horticulture and forestry",7,1.0
293134,Sodium 3-(trihydroxysilyl)propyl methylphosphonate,5,1.0
401192,"Pneumatic tyres, of rubber, new, of a kind used on agricultural or forestry vehicles and machines ...",8,1.0
630252,Table linen of flax (excluding knitted or crocheted),4,1.0
340212,"Cationic organic surface-active agents, whether or not put up for retail sale (excluding soap)",3,1.0
390930,"Amino-resins, in primary forms (excluding urea resins, thiourea resins and melamine resins)",8,1.0
30530,"Fish fillets, dried, salted or in brine, not smoked",8,1.0
370590,"Photographic plates and film, exposed and developed (excluding products made of paper, paperboard ...",4,1.0
290361,"Methyl bromide ""bromomethane""",4,1.0
293336,"4-Anilino-N-phenethylpiperidine ""ANPP""",3,1.0
950341,Stuffed toys representing animals or non-human creatures,7,1.0
20830,"Fresh, chilled or frozen meat and edible offal of primates",12,1.0
681120,"Sheets, panels, paving, tiles and similar articles, of asbestos-cement, cellulose fibre-cement ...",7,1.0
91010,Ginger,12,1.0
842520,Pit-head winding gear; winches for use underground,6,1.0
852010,Dictating machines not capable of operating without an external source of power,3,1.0
681290,Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and ...,5,1.0
120792,"Shea nuts ""karite nuts"", whether or not broken",4,1.0
291040,"Dieldrin ""ISO"" ""INN""",12,1.0
811230,"Germanium and articles thereof, n.e.s.; germanium waste and scrap (excluding ash and residues ...",4,1.0
291050,"Endrin ""ISO""",8,1.0
290383,"Mirex ""ISO""",8,1.0
845240,"Furniture, bases and covers for sewing machines and parts thereof",6,1.0
30261,"Fresh or chilled sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), ...",9,1.0
950291,"Garments and accessories, footwear and headgear for dolls representing only human beings",5,1.0
441294,"Laminated wood as blockboard, laminboard or battenboard (excluding of bamboo, plywood consisting ...",3,1.0
293229,"Lactones (excluding coumarin, methylcoumarins, ethylcoumarins, and inorganic or organic compounds ...",6,1.0
293147,"(5-Ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl) methyl methyl methylphosphonate",3,1.0
846221,"Bending, folding, straightening or flattening machines, incl. presses, numerically controlled, ...",3,1.0
90920,Coriander seeds,9,1.0
903130,Profile projectors,5,1.0
382732,"Mixtures containing hydrochlorofluorocarbons ""HCFCs"" and substances of subheadings 2903.71 ...",3,1.0
950210,"Dolls representing only human beings, whether or not clothed",7,1.0
382477,"Mixtures containing bromomethane ""methyl bromide"" or bromochloromethane",9,1.0
251311,"Pumice stone, crude or in irregular pieces, incl. crushed pumice ""bimskies""",5,1.0
